year,make,model,forward_collision_warning,adaptive_cruise_control,lane_departure_warning,lane_keeping_assist,blind_spot_monitor,rear_cross_traffic_alert,backup_camera,adaptive_headlights,antilock_braking_system,automatic_emergency_braking,automatic_parallel_parking,backup_warning,bicycle_detection,brake_assist,curve_speed_warning,drowsiness_alert,electronic_stability_control,high_speed_alert,hill_descent_assist,hill_start_assist,left_turn_crash_avoidance,pedestrian_detection,push_button_start,sideview_camera,temperature_warning,tire_pressure_monitoring_system,traction_control,obstacle_detection
2016,Acura,ILX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Acura,ILX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Acura,ILX,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Acura,MDX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Acura,MDX,Standard,Standard,Standard,Standard,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Acura,MDX,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Acura,MDX,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Acura,NSX,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2016,Acura,RDX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Acura,RDX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Acura,RDX,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Acura,RDX,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Acura,RLX,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Acura,RLX,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Acura,RLX,Standard,Standard,Standard,Standard,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Acura,TLX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Acura,TLX,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Acura,TLX,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2019,Acura,TLX,Standard,Standard,Standard,Standard,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Alfa Romeo,4C,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Alfa Romeo,4C,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Alfa Romeo,4C,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Alfa Romeo,Giulia,Option,Option,Option,Unknown / Not Available,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Alfa Romeo,Giulia,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Alfa Romeo,Stelvia,Option,Option,Option,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,A3,Option,Option,Option,Option,Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Audi,A3,Standard,Standard/Option,Option,Standard,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,A3,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,A4,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Audi,A4,Standard,Standard/Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,A4,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2018,Audi,A5,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,A5 Sport,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Audi,A5 Sport,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2016,Audi,A6,Option,Option,Option,Option,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Audi,A6,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,A6,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,A7,Option,Option,Option,Option,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Audi,A7,Option,Option,Option,Option,Standard,Standard,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,A7,Option,Option,Option,Option,Standard,Standard,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,A8,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Audi,A8,Option,Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,A8,Option,Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,Allroad,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Option,Option,,,,,,,,,,,,,,,,,,,,,
2017,Audi,Allroad,Standard,Standard/Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,Allroad,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,Q3,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Audi,Q3,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,Q3,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,Q5,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Audi,Q5,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Audi,Q5,Standard,Standard/Option,Unknown / Not Available,Unknown / Not Available,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Audi,Q7,Standard,Standard/Option,Option,Option,Option,Option,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,Q7,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,R8,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2017,Audi,R8,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,R8,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,S4,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Audi,S4,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Audi,S4,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,S5,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2017,Audi,S5,Option,Option,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Option,,,,,,,,,,,,,,,,,,,,,
2018,Audi,S5,Standard,Standard/Option,Option,Option,Option,Option,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2016,Audi,TT,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
2017,Audi,TT,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Standard,,,,,,,,,,,,,,,,,,,,,
2018,Audi,TT,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Unknown / Not Available,Option,Unknown / Not Available,Unknown / Not Available,,,,,,,,,,,,,,,,,,,,,
