name,alternate_name,description,what_it_does,what_it_doesnt_do,reference_url,created_at,updated_at
Adaptive Cruise Control,ACC,"Not only maintains your set speed, but your following distance as well; provides some limited braking.",Automatically speeds up and slows down your car to keep a set following distance relative to the car ahead. Provides some braking.,"You need to understand how much braking the system can do—some will brake to a stop, most will only brake so much.",https://mycardoeswhat.org/safety-features/adaptive-cruise-control/,43321.64685,43321.64685
Adaptive Headlights,AH,Adapts to changing roadway conditions - such as curves - to better help illuminate the roadway along your path.,Headlights actually move side to side as the steering wheel turns.,Does not automatically switch from low beams to high beams.,https://mycardoeswhat.org/safety-features/adaptive-headlights/,43321.64685,43321.64685
Anti-Lock Braking System,,Anti-lock braking systems (ABS) help you steer in emergencies by restoring traction to your tires.,Helps prevent wheels from locking up - possibly allowing the driver to steer to safety.,May not shorten stopping distance; pedal may vibrate or push back & that's normal.,https://mycardoeswhat.org/safety-features/anti-lock-braking-system/,43321.64685,43321.64685
Automatic Emergency Braking,,This feature can sense slow or stopped traffic ahead and urgently apply the brakes if the driver fails to respond.,Uses sensors to track cars ahead and automatically slam on the brakes in an impending crash.,"It can't always prevent a rear end collision, but may lessen the severity.",https://mycardoeswhat.org/safety-features/automatic-braking/,43321.64685,43321.64685
Automatic Parallel Parking,,Helps guide you into a parallel parking spot after searching and finding a viable option. You still are responsible for braking and monitoring your environment.,Automatically steers the car into a parking space.,Brake or automatically shift gears,https://mycardoeswhat.org/safety-features/automatic-parallel-parking/,43321.64685,43321.64685
Back-up Camera,,Back-up cameras help you see objects directly behind you while backing. Remember to always look over your shoulder and in your mirrors as you back up.,"Shows a wide view behind your car while in reverse, even at night.","View may not be clear if lens is obscured by snow, dirt or direct sunlight.",https://mycardoeswhat.org/safety-features/back-up-camera/,43321.64685,43321.64685
Back-up Warning,,Alerts you of objects behind your car as you back out of spaces like driveways or parking spots.,Uses rear sensors to scan for objects behind your car and alerts you if one is detected.,Will NOT always detect moving objects.,https://mycardoeswhat.org/safety-features/back-up-warning/,43321.64685,43321.64685
Bicycle Detection,,This is a warning feature that alerts drivers when a bicycle has been detected. Some systems can only detect bicyclists when traveling directly in front of the vehicle and when moving in the same direction.,Alerts you of a potential collision with a bicyclist ahead.,Detect bicyclists in the rear or sides of the vehicle.,https://mycardoeswhat.org/safety-features/bicycle-detection/,43321.64685,43321.64685
Blind Spot Monitor,,These monitors warn you of cars driving in your blind spots. They may provide an additional warning if you use your turn signal when there is a car next to you in another lane.,"Uses a symbol, sound or vibration to let the driver know there are vehicles located in their blind spots.",May not detect motorcycles or very fast moving vehicles.,https://mycardoeswhat.org/safety-features/blind-spot-monitor/,43321.64685,43321.64685
Brake Assist,,"Adds additional braking power to your car during emergency stops.Drivers' reaction times don't always match how quickly they need to react to avoid a crash. If electronic braking assistance notices drivers slamming the brake pedal, it applies maximum force to the brakes to help make sure the car stops as quickly as possible.Make sure to keep a safe following distance from vehicles ahead of you as you drive.","You brake, it brakes harder.",Does not automatically stop your car. (See Automatic Emergency Braking),https://mycardoeswhat.org/safety-features/brake-assist/,43321.64685,43321.64685
